k,Area,Configs computed,DP duration,Good points,Longest edge len,Longest primitive edge len,Max angle of sol,Naive perimeter,Perimeter,Running time in seconds,UB edge len,UB max turn_angle,UB primitive edge len,boundary grid points,circle perimeter,vertices
2,0.0,3,0.000231199,22,,1.0,0.0,5.0132565492620005,2.0,0.023547052,,7.480451224746007,3,2,2.0,2
3,0.5,13,0.000547499,30,,1.4142135623730951,2.356194490192345,6.139960247678931,3.414213562373095,0.022681954,,6.534776057350833,3,3,3.414213562373095,3
4,1.0,26,0.000318899,38,,1.0,1.5707963267948966,7.0898154036220635,4.0,0.026002322,,5.937238071679309,3,4,4.82842712474619,4
5,1.5,36,0.000310199,44,,1.4142135623730951,2.356194490192345,7.926654595212022,5.414213562373095,0.021975134,,5.51164358720147,3,5,5.656854249492381,4
6,2.0,54,0.000494498,44,,1.0,1.5707963267948966,8.683215054699211,6.0,0.025464623,,5.186655193907658,3,6,6.242640687119285,4
7,3.0,65,0.000384698,44,,1.4142135623730951,1.5707963267948966,9.378944199669503,6.82842712474619,0.022894231,,4.9268776867917214,3,6,6.82842712474619,5
10,5.0,133,0.000464799,50,,1.4142135623730951,1.5707963267948966,11.209982432795858,8.82842712474619,0.025366449,,4.374594414198697,3,8,8.82842712474619,5
20,13.5,503,0.000224749,73,2.23606797749979,,1.1071487177940904,15.853309190424044,13.478708664619077,0.021121423,,2.314745258344407,,11,13.478708664619075,8
50,40.0,2513,0.000739897,135,3.0,,0.7853981633974484,25.066282746310005,22.957417329238154,0.024414082,,1.705518888613855,,18,23.723543654364004,10
70,57.0,3672,0.001362297,152,,2.23606797749979,1.1071487177940904,29.65882571858067,27.721349351738365,0.031128248,,2.2868540455588415,4,24,27.785844453984343,8
100,88.0,6131,0.001716904,192,3.0,,0.46364760900080615,35.44907701811032,33.5453980694907,0.028018722,,1.3536712389686338,,22,33.65904855211802,16
500,471.5,39984,0.015291784,448,9.0,,0.46364760900080615,79.26654595212021,77.68972799584724,0.06560526,,0.7916317428905746,,55,77.80386348080316,16
700,667.0,55415,0.022314764,531,,3.1622776601683795,0.46364760900080615,93.78944199669502,92.25692400330328,0.073698779,,1.0614636201968128,6,64,92.67730782920594,18
900,868.0,74336,0.026430056,610,,3.1622776601683795,0.32175055439664263,106.34723105433096,104.87429879456695,0.096115942,,0.9761658813700047,7,62,105.89233836290376,24
1000,964.5,85635,0.045030442,646,10.0,,0.3217505543966423,112.09982432795857,110.64480352668666,0.221898318,11,0.9424777960769382,,69,110.81506921787113,24
2000,1955.0,285546,0.178470977,1180,12.0,,0.3217505543966423,158.53309190424042,157.21887510956847,0.478345435,,0.49869674831640054,,88,157.2762054454356,32
5000,4939.0,774193,0.752994947,1899,9.0,,0.19739555984988158,250.66282746310006,249.4966200815901,1.373480749,,0.36744290581343136,,120,249.62419567799478,40
10000,9918.5,2507103,2.766242636,3408,,6.082762530298219,0.19739555984988044,354.4907701811032,353.4226254324751,3.560396087,,0.4374594414198698,13,161,353.5336267234536,56
20000,19893.0,5280513,16.683396717,4881,18.0,,0.16514867741462674,501.3256549262001,500.36807849965555,22.107036545,,0.23147452583444073,,212,500.45597226271417,66
30000,29878.5,8000261,30.049977266,5958,21.0,,0.14189705460416438,613.9960247678931,613.0794634676226,39.082034116,,0.20221162385306515,,241,613.2149761086998,80
40000,39864.5,14755504,69.481319724,8105,22.0,,0.14189705460416438,708.9815403622064,708.0931277609461,88.225730648,,0.1837214529067157,,269,708.1529241788108,88
50000,49847.5,18620528,94.458126202,9087,22.0,,0.12435499454676072,792.6654595212021,791.8039382094059,119.610442581,,0.1705518888613855,,303,792.0078565613312,90
60000,59837.0,22695431,122.754087429,10010,24.0,,0.12435499454676072,868.3215054699211,867.4833471570684,153.092882662,,0.16049547221227675,,324,867.7194805409144,96
70000,69829.5,26547319,153.932780325,10803,24.0,,0.11065722117389662,937.8944199669503,937.082650175712,191.611703184,,0.15245693637058944,,339,937.2496932385211,96
80000,79820.5,30559477,191.090604785,11567,27.0,,0.11065722117389662,1002.6513098524002,1001.8561053406155,236.227615568,,0.14581981380662326,,357,1001.8803597185806,96
90000,89807.0,34597142,226.325831929,12294,29.0,,0.11065722117389662,1063.4723105433097,1062.6944411839183,279.252050144,,0.14020570920327244,,384,1062.7952335062269,96
100000,99797.5,38559718,114.612158771,12982,,9.055385138137417,0.11065722117389662,1120.9982432795857,1120.2430376757036,134.228708404,,0.20305068584529512,25,403,1120.3222568412941,96
150000,149779.0,78853551,640.72969821,18561,31.0,,0.09966865249116186,1372.9368492956535,1372.2078511372486,784.290736539,,0.1182540750038381,,440,1372.3607896008973,136
200000,199747.0,105991852,895.909747713,21430,34.0,,0.090659887200745,1585.3309190424043,1584.6397547636582,1073.089879686,,0.1074409574378953,,504,1584.681486984659,136
250000,249726.0,172060869,1283.690026329,27338,37.0,,0.08314123188844197,1772.453850905516,1771.7833014711673,1498.949698495,,0.09973934966328012,,546,1771.9490447067187,146
300000,299721.0,208067275,1304.188860936,30010,35.0,,0.08314123188844197,1941.6259125556992,1940.9749698572398,1504.979520264,,0.09385832153030947,,556,1941.2662453229907,167
350000,349695.5,244442631,1334.908528231,32456,38.0,,0.07677189126977907,2097.195678763837,2096.5563406944134,1518.445982225,,0.08915735725223876,,607,2096.680796393956,168
400000,399671.5,280640580,1346.1681338,34739,41.0,,0.07677189126977907,2241.9964865591714,2241.3772477845973,1515.239800895,,0.08527594443069277,,655,2241.401930140927,176
450000,449672.5,317159642,1361.656121154,36905,37.0,,0.07130746478529053,2377.9963785636064,2377.3888498520514,1524.398638233,,0.08199279614181672,,653,2377.458159791407,185
500000,499665.0,443707199,1766.539827951,43738,40.0,,0.07130746478529053,2506.6282746310003,2506.021252944045,1952.917898954,,0.07916317428905748,,668,2506.115795438301,200
550000,549648.5,490385062,1785.036482181,45953,44.0,,0.07130746478528896,2628.9739135064738,2628.376245939706,1982.377412329,,0.07668768690178608,,701,2628.4479637655995,204
600000,599648.0,535564065,1815.320611743,48025,39.0,,0.06656816377582422,2745.873698591307,2745.2841534565714,2016.870946031,,0.07449539916659138,,702,2745.4872660369974,216
650000,649628.0,580921432,1822.486231115,49952,44.0,,0.06656816377582422,2857.9959585929196,2857.414806169142,2023.707284155,,0.07253407596632204,,742,2857.5289787293977,223
700000,699621.0,628097490,1866.085443068,51894,45.0,,0.06656816377582422,2965.8825718580665,2965.300008660279,2063.066625441,,0.07076424134645419,,756,2965.430044289187,224
750000,749607.5,674053116,1885.263182351,53752,47.0,,0.06656816377582422,3069.9801238394653,3069.404134195422,2078.005847223,,0.06915540258543545,,783,3069.5018686598914,232
800000,799589.0,720486686,1917.640826114,55530,47.0,,0.06241880999595769,3170.6618380848086,3170.089767982634,2114.040292816,,0.06768356194843171,,820,3170.1348072912115,232
850000,849577.0,944175357,2432.398744833,63700,49.0,,0.06241880999595947,3268.2434153846766,3267.6779189974045,2665.553236118,,0.06632952589907708,,844,3267.7916952046075,232
900000,899560.5,1001860583,2450.335060524,65612,50.0,,0.06241880999595769,3362.994729838757,3362.4407710332807,2686.387355675,,0.06507772542466699,,877,3362.4975445470277,232
950000,949566.0,1059885495,3025.130328045,67423,,17.029386365926403,0.05875582271572511,3455.1486340881506,3454.6008292342503,3214.645977083,,0.09587306071955447,51,866,3454.688844476448,232
1000000,999555.5,1115774860,3039.647138876,69163,,17.029386365926403,0.06241880999595769,3544.907701811032,3544.365563770302,3230.365786179,,0.09424777960769382,52,887,3544.4393637241296,232
1500000,1.499501e6,2018288214,4154.152626959,92951,,19.026297590440446,0.05258306161094078,4341.607527349606,4341.096828097584,4436.193263232,,0.08233301911005343,59,996,4341.229542764819,272
2000000,1.999442e6,2707621690,4696.442914563,107592,,20.024984394500787,0.04995839572194553,5013.256549262001,5012.7660520868685,5006.656275341,,0.07480451224746008,65,1114,5012.8321580711645,312
