File Path,k_value,Running_Time_Sec
output/summary/000010_s.txt,10,0.020372518
output/summary/000020_s.txt,20,0.020618918
output/summary/000050_s.txt,50,0.02250379
output/summary/000100_s.txt,100,0.025233041
output/summary/000500_s.txt,500,0.059619392
output/summary/001000_s.txt,1000,0.112845037
output/summary/005000_s.txt,5000,2.09039486
output/summary/010000_s.txt,10000,17.636081462
output/summary/020000_s.txt,20000,54.115726982
output/summary/030000_s.txt,30000,102.489739885
output/summary/040000_s.txt,40000,251.23148606
output/summary/050000_s.txt,50000,356.141664936
output/summary/060000_s.txt,60000,471.765410976
output/summary/070000_s.txt,70000,592.409578771
output/summary/080000_s.txt,80000,761.451066739
output/summary/090000_s.txt,90000,926.257880803
output/summary/100000_s.txt,100000,1165.203789246
output/summary/150000_s.txt,150000,3240.881254813
output/summary/200000_s.txt,200000,4538.406639323
output/summary/250000_s.txt,250000,7116.485182826
output/summary/300000_s.txt,300000,7242.467897744
output/summary/350000_s.txt,350000,7455.849506412
output/summary/400000_s.txt,400000,7472.71059655
output/summary/450000_s.txt,450000,7502.535460878
output/summary/500000_s.txt,500000,10307.924513377
output/summary/600000_s.txt,600000,10281.585975421
output/summary/700000_s.txt,700000,10359.427864001
output/summary/800000_s.txt,800000,10199.228058846
