k,Area,Configs computed,DP duration,Longest edge len,Longest primitive edge len,Max angle of sol,Naive perimeter,Perimeter,Running time in seconds,UB max turn_angle,UB primitive edge len,boundary grid points,circle perimeter,vertices
3,0.5,14,9.4216e-5,1.4142135623730951,1.4142135623730951,2.356194490192345,6.139960247678931,3.414213562373095,0.019635561,6.534776057350833,3,3,3.414213562373095,3
4,1.0,25,0.000124316,1.0,1.0,1.5707963267948966,7.0898154036220635,4.0,0.020770468,5.937238071679309,3,4,4.82842712474619,4
5,1.5,41,0.000115866,1.4142135623730951,1.4142135623730951,2.356194490192345,7.926654595212022,5.414213562373095,0.01981603,5.51164358720147,3,5,5.656854249492381,4
6,2.0,52,0.000112514,1.0,1.0,1.5707963267948966,8.683215054699211,6.0,0.019329028,5.186655193907658,3,6,6.242640687119285,4
7,3.0,71,0.000113422,2.0,1.4142135623730951,1.5707963267948966,9.378944199669503,6.82842712474619,0.019303815,4.9268776867917214,3,6,6.82842712474619,5
8,3.5,94,0.000124037,2.0,1.4142135623730951,1.5707963267948966,10.026513098524001,7.414213562373095,0.019351866,4.71238898038469,3,7,7.414213562373095,5
9,4.0,105,0.000126902,2.0,1.0,1.5707963267948966,10.634723105433096,8.0,0.019285167,4.53096065472079,3,8,8.0,4
10,5.0,131,0.000134584,3.0,1.4142135623730951,1.5707963267948966,11.209982432795858,8.82842712474619,0.019427434,4.374594414198697,3,8,8.82842712474619,6
11,5.5,174,0.000143454,3.0,1.4142135623730951,1.5707963267948966,11.757128763348256,9.414213562373096,0.020003903,4.2377978115607755,3,9,9.65685424949238,5
12,7.0,197,0.000145479,1.4142135623730951,1.4142135623730951,0.7853981633974484,12.279920495357862,9.65685424949238,0.020094836,4.116650955502671,3,8,10.485281374238571,8
13,7.5,239,0.000154489,1.4142135623730951,1.4142135623730951,1.5707963267948966,12.781346485666885,10.242640687119286,0.01967104,4.0082673087705745,3,9,11.313708498984761,7
14,8.0,283,0.00016252,1.4142135623730951,1.4142135623730951,1.5707963267948966,13.263830087913083,10.82842712474619,0.019859122,3.910465411465914,3,10,11.72134935173836,6
15,8.5,330,0.000165314,1.4142135623730951,1.4142135623730951,1.5707963267948966,13.729368492956533,11.414213562373096,0.019989236,3.821560221388515,3,11,12.12899020449196,5
